FY,state,measure_name,avg_err,hospitals_reporting,total_rows,delta_prev
2025,CA,READM-30-AMI-HRRP,1.0158072727272727,110,110,0.002786884377758092
2025,CO,READM-30-AMI-HRRP,0.9693454545454546,11,11,-0.0013745454545454061
2025,CT,READM-30-AMI-HRRP,1.0081799999999999,10,10,-0.0015800000000001369
2025,DC,READM-30-AMI-HRRP,1.01065,2,2,-0.032749999999999835
2025,DE,READM-30-AMI-HRRP,0.9363250000000001,4,4,0.006591666666666662
2025,FL,READM-30-AMI-HRRP,1.0315188679245282,106,106,0.0021003112234971866
2025,GA,READM-30-AMI-HRRP,0.9996842105263157,38,38,-0.012503289473684287
2025,HI,READM-30-AMI-HRRP,1.02112,5,5,0.01761999999999997
2025,IA,READM-30-AMI-HRRP,0.9941857142857142,14,14,0.006024175824175804
2025,ID,READM-30-AMI-HRRP,0.8894285714285715,7,7,-0.022604761904761905
2025,IL,READM-30-AMI-HRRP,1.0299763636363637,55,55,0.008216018808777648
2025,IN,READM-30-AMI-HRRP,1.0063852941176472,34,34,0.0004946691176472839
2025,KS,READM-30-AMI-HRRP,0.9312571428571428,14,14,-0.0259571428571429
2025,KY,READM-30-AMI-HRRP,1.0106111111111111,18,18,-0.002152046783625794
2025,LA,READM-30-AMI-HRRP,1.0309210526315788,19,19,-0.0039736842105264625
2025,MA,READM-30-AMI-HRRP,1.0641958333333335,24,24,0.002373106060606256
2025,MD,READM-30-AMI-HRRP,0.9849826086956521,23,23,-0.012621391304347918
2025,ME,READM-30-AMI-HRRP,0.8332333333333333,3,3,0.0056833333333332625
2025,MI,READM-30-AMI-HRRP,1.011180487804878,41,41,-0.009870731707317226
2025,MN,READM-30-AMI-HRRP,0.9809466666666666,15,15,0.014479999999999937
2025,MO,READM-30-AMI-HRRP,1.0190794117647057,34,34,0.005303654188948181
2025,MS,READM-30-AMI-HRRP,1.0398263157894736,19,19,-0.013491331269350093
2025,MT,READM-30-AMI-HRRP,0.9642166666666666,6,6,0.004566666666666608
2025,NC,READM-30-AMI-HRRP,0.9997806451612903,31,31,-0.0054055617352615215
2025,ND,READM-30-AMI-HRRP,0.90772,5,5,-0.006360000000000032
2025,NE,READM-30-AMI-HRRP,0.963111111111111,9,9,-0.022922222222222288
2025,NH,READM-30-AMI-HRRP,1.0011999999999999,9,9,-0.008800000000000141
2025,NJ,READM-30-AMI-HRRP,1.032277142857143,35,35,0.008146839826839836
2025,NM,READM-30-AMI-HRRP,0.9914666666666666,9,9,0.012066666666666559
2025,NV,READM-30-AMI-HRRP,1.01437,10,10,-0.01861333333333337
2025,NY,READM-30-AMI-HRRP,1.0186,50,50,-0.009159574468085019
2025,OH,READM-30-AMI-HRRP,1.026990909090909,55,55,-0.00038216783216782346
2025,OK,READM-30-AMI-HRRP,1.01535,18,18,-0.008312499999999945
2025,OR,READM-30-AMI-HRRP,0.9306214285714286,14,14,-0.0068603896103895945
2025,PA,READM-30-AMI-HRRP,1.0192818181818182,55,55,0.004913893653516244
2025,RI,READM-30-AMI-HRRP,1.076675,4,4,0.031625000000000014
2025,SC,READM-30-AMI-HRRP,1.007536842105263,19,19,-0.0002263157894737411
2025,SD,READM-30-AMI-HRRP,0.8876,4,4,0.027666666666666617
2025,TN,READM-30-AMI-HRRP,1.019146153846154,26,26,-0.020938461538461572
2025,TX,READM-30-AMI-HRRP,1.028248514851485,101,101,0.01076155832974579
2025,UT,READM-30-AMI-HRRP,0.85922,5,5,-0.01417999999999997
2025,VA,READM-30-AMI-HRRP,0.996771052631579,38,38,0.001915789473684315
2025,VT,READM-30-AMI-HRRP,0.914,1,1,-0.034399999999999986
2025,WA,READM-30-AMI-HRRP,0.9724153846153846,26,26,-0.005220615384615379
2025,WI,READM-30-AMI-HRRP,1.0061727272727272,22,22,0.017492727272727326
2025,WV,READM-30-AMI-HRRP,1.0270636363636363,11,11,-0.00846363636363634
2025,WY,READM-30-AMI-HRRP,0.94285,2,2,-0.03365000000000007
2025,AL,READM-30-CABG-HRRP,1.0593777777777778,9,9,0.01042222222222211
2025,AR,READM-30-CABG-HRRP,1.0182499999999999,6,6,-0.005750000000000144
2025,AZ,READM-30-CABG-HRRP,1.06577,10,10,-0.016672857142856934
2025,CA,READM-30-CABG-HRRP,1.0459647058823531,17,17,0.016118552036199274
2025,CO,READM-30-CABG-HRRP,1.0872,1,1,-0.03269999999999995
2025,CT,READM-30-CABG-HRRP,0.9857999999999999,3,3,-0.013733333333333486
2025,DC,READM-30-CABG-HRRP,0.99,2,2,-0.02719999999999989
2025,DE,READM-30-CABG-HRRP,0.9571000000000001,2,2,0.014800000000000146
2025,FL,READM-30-CABG-HRRP,1.0494486486486487,37,37,-0.031009415867480294
2025,GA,READM-30-CABG-HRRP,1.0247600000000001,10,10,-0.016994545454545262
2025,HI,READM-30-CABG-HRRP,1.0076,1,1,0.1484000000000001
2025,IA,READM-30-CABG-HRRP,1.0636,2,2,0.05403333333333338
2025,ID,READM-30-CABG-HRRP,1.0492,1,1,0.09144999999999992
2025,IL,READM-30-CABG-HRRP,1.0166263157894737,19,19,-0.03445603715170287
2025,IN,READM-30-CABG-HRRP,1.05716,10,10,-0.01201142857142834
2025,KS,READM-30-CABG-HRRP,0.9519,5,5,0.026679999999999926
2025,KY,READM-30-CABG-HRRP,1.079575,4,4,0.00014999999999987246
2025,LA,READM-30-CABG-HRRP,1.1298400000000002,5,5,0.07316000000000011
2025,MA,READM-30-CABG-HRRP,1.0212333333333334,9,9,-0.020277777777777617
2025,MD,READM-30-CABG-HRRP,0.985725,8,8,-0.04378928571428564
2025,ME,READM-30-CABG-HRRP,0.8841,1,1,0.012800000000000034
2025,MI,READM-30-CABG-HRRP,1.0009666666666668,9,9,-0.00704333333333329
2025,MN,READM-30-CABG-HRRP,1.0138500000000001,4,4,-0.06457499999999983
2025,MO,READM-30-CABG-HRRP,1.0222083333333334,12,12,-0.0010291666666666366
2025,MS,READM-30-CABG-HRRP,1.0230571428571429,7,7,0.01299714285714293
2025,MT,READM-30-CABG-HRRP,1.0041,3,3,0.022600000000000064
2025,NC,READM-30-CABG-HRRP,0.9684846153846153,13,13,-0.0332403846153847
2025,ND,READM-30-CABG-HRRP,1.0079,2,2,0.034399999999999986
2025,NE,READM-30-CABG-HRRP,0.960825,4,4,0.026205000000000034
2025,NH,READM-30-CABG-HRRP,1.055725,4,4,-0.019141666666666612
2025,NJ,READM-30-CABG-HRRP,1.0088375,8,8,0.006825000000000081
2025,NM,READM-30-CABG-HRRP,1.0231,2,2,-0.08410000000000006
2025,NV,READM-30-CABG-HRRP,1.1076333333333332,3,3,0.04773333333333318
2025,NY,READM-30-CABG-HRRP,1.018,14,14,-0.01326000000000005
2025,OH,READM-30-CABG-HRRP,1.02806875,16,16,-0.007001249999999848
2025,OK,READM-30-CABG-HRRP,0.9899249999999999,4,4,-0.03022500000000017
2025,OR,READM-30-CABG-HRRP,0.9354333333333332,3,3,0.023233333333333217
2025,PA,READM-30-CABG-HRRP,1.0280058823529412,17,17,-0.004927450980392045
2025,RI,READM-30-CABG-HRRP,0.9346,1,1,-0.05910000000000004
2025,SC,READM-30-CABG-HRRP,1.03873,10,10,-0.017000000000000126
2025,SD,READM-30-CABG-HRRP,0.9245,2,2,-0.1250000000000001
